Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
B00989510-I1,BROOKLYN,,2024-01-19,2024-02-25,36,2024-10-14,326.0,,Permit Entire,3428668,313,40.58217,-73.95767,110,NEPTUNE AVENUE,3,8701,7501,AG ENGINEERING PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00989522-I1,BROOKLYN,,2024-01-22,2024-02-25,33,2024-11-02,44.0,,Permit Entire,3346863,317,40.66313,-73.92806,5,EAST   93 STREET,3,4595,215,ASHRAF CORP,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00989885-I1,BROOKLYN,,2024-01-22,2024-02-25,33,2024-06-30,30.0,,Permit Entire,3030615,308,40.6759,-73.95456,577,SAINT MARKS AVENUE,3,1217,68,GEIGER E&A GROUP CORP.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00990105-I1,BROOKLYN,,2024-01-17,2024-02-25,38,2024-04-30,32.0,,Permit Entire,3065364,301,40.72844,-73.95178,202,CALYER STREET,3,2598,14,BRIAN GOLDMAN  ARCHITECT,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00990120-I1,BROOKLYN,,2024-01-16,2024-02-25,39,2024-08-04,210.0,,Permit Entire,3125609,312,40.64145,-73.97096,801,AVENUE C,3,5360,48,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00990423-I1,BROOKLYN,,2024-01-18,2024-02-25,37,2024-11-19,56.0,,Permit Entire,3065351,301,40.72746,-73.95233,123,MESEROLE AVENUE,3,2597,33,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00990429-I1,BROOKLYN,,2024-01-23,2024-02-25,32,2024-11-19,270.0,,Permit Entire,3854778,309,40.66527,-73.93811,600,CROWN STREET,3,1417,8,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00990537-I1,BROOKLYN,,2024-02-09,2024-02-25,15,2024-06-30,88.0,,Permit Entire,3337954,303,40.69809,-73.93784,874,BROADWAY,3,1582,9,GEIGER E&A GROUP CORP.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00990735-I1,BROOKLYN,,2024-01-26,2024-02-25,29,2024-06-27,215.0,,Permit Entire,3426871,312,40.63857,-73.9916,4419,12 AVENUE,3,5610,1,PAUL G. JONES  P.E.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00990881-I1,BROOKLYN,,2024-01-19,2024-02-25,36,2024-10-10,247.0,,Permit Entire,3029667,355,40.67055,-73.96376,200,EASTERN PARKWAY,3,1183,26,BITOPI CONSULTANTS LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00990894-I1,BROOKLYN,,2024-02-02,2024-02-25,22,2024-09-15,478.0,,Permit Entire,3071024,301,40.7088,-73.93939,207,BUSHWICK AVENUE,3,3046,1,AK CONSULTING SERVICES  INC,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00990909-I1,BROOKLYN,,2024-02-07,2024-02-25,17,2024-11-06,59.0,,Permit Entire,3063253,301,40.71228,-73.96334,117,SOUTH    4 STREET,3,2430,29,PAUL PERDEK  PROF. ENG. PLLC,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00990961-I1,BROOKLYN,,2024-01-18,2024-02-25,37,2024-04-01,38.0,,Permit Entire,3003141,306,40.68864,-73.99595,169,CONGRESS STREET,3,296,36,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00991035-I1,BROOKLYN,,2024-01-17,2024-02-25,38,2024-07-01,105.0,,Permit Entire,3074146,304,40.70042,-73.9217,362,KNICKERBOCKER AVENUE,3,3257,27,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00991317-I1,BROOKLYN,,2024-01-24,2024-02-25,31,2024-05-31,40.0,,Permit Entire,3397336,301,40.73071,-73.95803,75,KENT STREET,3,2549,25,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00991433-I1,BROOKLYN,,2024-01-26,2024-02-25,29,2024-04-03,235.0,,Permit Entire,3057667,302,40.68175,-73.95998,1024,FULTON STREET,3,2015,28,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00991490-I1,BROOKLYN,,2024-01-17,2024-02-25,38,2024-10-05,30.0,,Permit Entire,3061095,301,40.70066,-73.95707,687,BEDFORD AVENUE,3,2231,8,..,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00991626-I1,BROOKLYN,,2024-01-31,2024-02-25,24,2024-06-30,32.0,,Permit Entire,3076701,304,40.69901,-73.91085,300,WYCKOFF AVENUE,3,3354,13,GEIGER E&A GROUP CORP.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00991633-I1,BROOKLYN,,2024-01-27,2024-02-25,28,2024-10-05,187.0,,Permit Entire,3330875,302,40.69685,-73.96499,20,GRAND AVENUE,3,1877,35,..,1,DOB NOW,Local Law 11,Other Zoning Districts
B00991648-I1,BROOKLYN,,2024-01-22,2024-02-25,33,2024-03-09,458.0,,Permit Entire,3229467,318,40.64947,-73.8987,611,EAST  103 STREET,3,8172,27,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00991745-I1,BROOKLYN,,2024-01-22,2024-02-25,33,2024-04-01,143.0,,Permit Entire,3036729,308,40.67104,-73.93618,243,TROY AVENUE,3,1377,1,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00991854-I1,BROOKLYN,,2024-01-18,2024-02-25,37,2024-11-11,190.0,,Permit Entire,3002707,302,40.69029,-73.99022,96,SCHERMERHORN STREET,3,271,47,ASHRAF CORP,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00992013-I1,BROOKLYN,,2024-01-24,2024-02-25,31,2024-04-01,78.0,,Permit Entire,3001956,302,40.69574,-73.99581,36,PIERREPONT STREET,3,241,36,TOHFAZ UDDIN PE PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00992125-I1,BROOKLYN,,2024-01-18,2024-02-25,37,2024-07-26,55.0,,Permit Entire,3101355,317,40.65405,-73.93203,719,LINDEN BOULEVARD,3,4654,26,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00992127-I1,BROOKLYN,,2024-01-18,2024-02-25,37,2024-05-27,30.0,,Permit Entire,3075020,304,40.69515,-73.92319,78,HARMAN STREET,3,3285,27,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00992129-I1,BROOKLYN,,2024-01-18,2024-02-25,37,2024-08-04,35.0,,Permit Entire,3066213,301,40.72522,-73.94929,166,ECKFORD STREET,3,2649,46,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00992140-I1,BROOKLYN,,2024-01-22,2024-02-25,33,2025-01-22,195.0,,Permit Entire,3182893,315,40.60724,-73.95923,1730,EAST   14 STREET,3,6796,17,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00992302-I1,BROOKLYN,,2024-01-22,2024-02-25,33,2024-04-01,150.0,,Permit Entire,3110528,317,40.64577,-73.94545,450,EAST   34 STREET,3,4918,25,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00992303-I1,BROOKLYN,,2024-01-22,2024-02-25,33,2024-04-01,236.0,,Permit Entire,3179161,314,40.63193,-73.95799,1250,OCEAN AVENUE,3,6694,55,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00992307-I1,BROOKLYN,,2024-01-19,2024-02-25,36,2024-08-10,35.0,,Permit Entire,3010428,307,40.65318,-74.00636,994,4 AVENUE,3,704,41,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00992375-I1,BROOKLYN,,2024-02-16,2024-02-25,8,2024-03-20,1200.0,,Permit Entire,3205788,314,40.63283,-73.95236,2839,BEDFORD AVENUE,3,7553,41,AME SERVICES INC.,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00992552-I1,BROOKLYN,,2024-01-19,2024-02-25,36,2024-06-27,130.0,,Permit Entire,3071063,301,40.70722,-73.948,344,LORIMER STREET,3,3050,4,PAUL G. JONES  P.E.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00992798-I1,BROOKLYN,,2024-02-12,2024-02-25,12,2024-04-04,217.0,,Permit Entire,3814731,309,40.65908,-73.94776,447,FENIMORE STREET,3,4809,50,ASHRAF CORP,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00992931-I1,BROOKLYN,,2024-02-09,2024-02-25,15,2024-09-30,180.0,,Permit Entire,3429160,303,40.69125,-73.95037,652,DE KALB AVENUE,3,1779,22,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00992965-I1,BROOKLYN,,2024-02-02,2024-02-25,22,2024-05-26,398.0,,Permit Entire,3120272,314,40.63889,-73.95756,621,EAST   21 STREET,3,5207,50,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00993012-I1,BROOKLYN,,2024-01-22,2024-02-25,33,2024-04-01,35.0,,Permit Entire,3007268,306,40.68141,-73.99381,305,SMITH STREET,3,436,10,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00993813-I1,BROOKLYN,,2024-01-22,2024-02-25,33,2024-07-02,410.0,,Permit Entire,3322050,313,40.57265,-73.99105,2410,SURF AVENUE,3,7070,1,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00993825-I1,BROOKLYN,,2024-01-23,2024-02-25,32,2024-04-01,214.0,,Permit Entire,3326505,316,40.66346,-73.90969,357,CHESTER STREET,3,3575,11,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00993837-I1,BROOKLYN,,2024-01-22,2024-02-25,33,2024-07-01,137.0,,Permit Entire,3044052,303,40.69018,-73.93366,148,STUYVESANT AVENUE,3,1620,45,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00994106-I1,BROOKLYN,,2024-01-23,2024-02-25,32,2024-09-09,135.0,,Permit Entire,3069789,301,40.72008,-73.94284,33,NORTH HENRY STREET,3,2831,7,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00994155-I1,BROOKLYN,,2024-01-31,2024-02-25,24,2024-04-01,69.0,,Permit Entire,3068159,301,40.71761,-73.94744,104,FROST STREET,3,2738,13,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00994202-I1,BROOKLYN,,2024-01-23,2024-02-25,32,2024-05-22,120.0,,Permit Entire,3428771,305,40.67799,-73.87359,975,LIBERTY AVENUE,3,4157,32,ARQUITECTURA VARELA,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00994273-I1,BROOKLYN,,2024-01-30,2024-02-25,25,2024-09-30,62.0,,Permit Entire,3131453,312,40.62308,-73.98661,5808,18 AVENUE,3,5504,40,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00994422-I1,BROOKLYN,,2024-01-23,2024-02-25,32,2025-01-23,60.0,,Permit Entire,3427346,302,40.69462,-73.99177,142,PIERREPONT STREET,3,244,27,LAWSON CHRISTIAN,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00994812-I1,BROOKLYN,,2024-01-30,2024-02-25,25,2024-10-14,445.0,,Permit Entire,3397446,301,40.72006,-73.96353,22,NORTH    6 STREET,3,2332,7502,AG ENGINEERING PLLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00995523-I1,BROOKLYN,,2024-02-07,2024-02-25,17,2024-04-01,275.0,,Permit Entire,3429317,302,40.69023,-73.97976,89,DEKALB AVENUE,3,2085,15,PATUXENT ENGINEERING  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00995886-I1,BROOKLYN,,2024-02-06,2024-02-25,18,2024-04-30,750.0,,Permit Entire,3328935,313,40.57911,-74.00087,2730,WEST   33 STREET,3,6963,3,AP PROFESSIONAL ENGINEERING PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00995911-I1,BROOKLYN,,2024-01-26,2024-02-25,29,2024-11-19,94.0,,Permit Entire,3322779,301,40.71723,-73.94963,676,LORIMER STREET,3,2737,4,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00995927-I1,BROOKLYN,,2024-01-26,2024-02-25,29,2024-11-19,38.0,,Permit Entire,3068149,301,40.7173,-73.94961,680,LORIMER STREET,3,2737,5,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00996614-I1,BROOKLYN,,2024-01-26,2024-02-25,29,2024-07-02,358.0,,Permit Entire,3331423,318,40.63334,-73.88597,2065,ROCKAWAY PARKWAY,3,8329,225,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00996847-I1,BROOKLYN,,2024-01-29,2024-02-25,26,2024-11-06,30.0,,Permit Entire,3335085,302,40.6826,-73.96086,28,PUTNAM AVENUE,3,1991,19,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00997188-I1,BROOKLYN,,2024-01-31,2024-02-25,24,2024-05-14,56.0,,Permit Entire,3003591,306,40.68616,-74.00145,42,TIFFANY PLACE,3,319,7501,OSPINO ENGINEERING PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00997278-I1,BROOKLYN,,2024-01-30,2024-02-25,25,2024-09-30,40.0,,Permit Entire,3035756,308,40.67587,-73.93852,141,ALBANY AVENUE,3,1346,5,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00997362-I1,BROOKLYN,,2024-01-29,2024-02-25,26,2024-07-01,27.0,,Permit Entire,3050250,303,40.6896,-73.94272,655,GREENE AVENUE,3,1795,53,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00997707-I1,BROOKLYN,,2024-02-23,2024-02-25,1,2024-09-30,55.0,,Permit Entire,3023039,306,40.6658,-73.98402,379,12 STREET,3,1024,65,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00997861-I1,BROOKLYN,,2024-02-14,2024-02-25,10,2024-05-09,295.0,,Permit Entire,3038416,309,40.66409,-73.93114,1004,MONTGOMERY STREET,3,1425,6,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00997862-I1,BROOKLYN,,2024-02-05,2024-02-25,19,2024-08-04,110.0,,Permit Entire,3120571,314,40.6374,-73.95898,1012,OCEAN AVENUE,3,5219,8,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00997947-I1,BROOKLYN,,2024-01-31,2024-02-25,24,2024-03-09,48.0,,Permit Entire,3097067,305,40.66474,-73.88088,851,HEGEMAN AVENUE,3,4313,45,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00998091-I1,BROOKLYN,,2024-01-30,2024-02-25,25,2024-09-15,32.0,,Permit Entire,3062146,301,40.71475,-73.95381,275,NORTH    6 STREET,3,2331,48,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00998115-I1,BROOKLYN,,2024-02-01,2024-02-25,23,2024-07-01,19.0,,Permit Entire,3048833,303,40.69482,-73.9454,162,VERNON AVENUE,3,1760,16,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00998128-I1,BROOKLYN,,2024-01-30,2024-02-25,25,2024-07-01,24.0,,Permit Entire,3048834,303,40.69483,-73.94533,164,VERNON AVENUE,3,1760,17,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00998251-I1,BROOKLYN,,2024-01-31,2024-02-25,24,2024-09-21,23.0,,Permit Entire,3391751,306,40.68309,-74.00303,71,CARROLL STREET,3,348,7501,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00998582-I1,BROOKLYN,,2024-02-02,2024-02-25,22,2024-04-01,21.0,,Permit Entire,3326030,302,40.6964,-73.99503,175,HICKS STREET,3,236,78,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00998792-I1,BROOKLYN,,2024-02-08,2024-02-25,16,2024-05-14,28.0,,Permit Entire,3391486,316,40.66943,-73.91683,1366,EAST NEW YORK AVENUE,3,3493,9,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00998853-I1,BROOKLYN,,2024-02-12,2024-02-25,12,2024-03-31,350.0,,Permit Entire,3030381,308,40.67623,-73.94757,110,NEW YORK AVENUE,3,1213,46,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00999323-I1,BROOKLYN,,2024-02-06,2024-02-25,18,2024-09-30,205.0,,Permit Entire,3117223,314,40.65022,-73.95829,885,FLATBUSH AVENUE,3,5103,28,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00999495-I1,BROOKLYN,,2024-02-12,2024-02-25,12,2024-03-31,36.0,,Permit Entire,3048979,303,40.69127,-73.95478,236,SPENCER STREET,3,1762,70,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00999673-I1,BROOKLYN,,2024-02-09,2024-02-25,15,2024-05-31,413.0,,Permit Entire,3059161,302,40.68754,-73.9795,41,FLATBUSH AVENUE,3,2106,9,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00999805-I1,BROOKLYN,,2024-02-05,2024-02-25,19,2024-08-09,105.0,,Permit Entire,3118758,314,40.64065,-73.96272,416,EAST   17 STREET,3,5159,27,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00999807-I1,BROOKLYN,,2024-02-05,2024-02-25,19,2024-08-09,105.0,,Permit Entire,3118759,314,40.64051,-73.96269,422,EAST   17 STREET,3,5159,30,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00999809-I1,BROOKLYN,,2024-02-06,2024-02-25,18,2024-08-09,155.0,,Permit Entire,3179459,314,40.62886,-73.95744,1362,OCEAN AVENUE,3,6703,73,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00999810-I1,BROOKLYN,,2024-02-05,2024-02-25,19,2024-08-09,47.0,,Permit Entire,3029720,309,40.66725,-73.9609,12,CROWN STREET,3,1190,7501,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01000048-I1,BROOKLYN,,2024-02-14,2024-02-25,10,2024-04-01,159.0,,Permit Entire,3833682,306,40.67934,-73.98973,325,BOND STREET,3,438,1,TOHFAZ UDDIN PE PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01000366-I1,BROOKLYN,,2024-02-08,2024-02-25,16,2024-04-01,61.5,,Permit Entire,3069114,301,40.71379,-73.94193,32,BUSHWICK AVENUE,3,2772,14,JIAN ENGINEERING PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01000442-I1,BROOKLYN,,2024-02-06,2024-02-25,18,2025-01-27,30.0,,Permit Entire,3325490,304,40.69923,-73.92507,702,HART STREET,3,3234,20,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01000444-I1,BROOKLYN,,2024-02-06,2024-02-25,18,2025-01-27,30.0,,Permit Entire,3073525,304,40.69926,-73.92499,704,HART STREET,3,3234,21,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01000866-I1,BROOKLYN,,2024-02-05,2024-02-25,19,2024-07-02,988.0,,Permit Entire,3335257,302,40.69466,-73.97468,81,NORTH PORTLAND AVENUE,3,2041,1,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B01001294-I1,BROOKLYN,,2024-02-13,2024-02-25,11,2024-12-31,65.0,,Permit Entire,3063320,301,40.71081,-73.9593,217,SOUTH    4 STREET,3,2433,40,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B01001307-I1,BROOKLYN,,2024-02-08,2024-02-25,16,2024-07-14,159.0,,Permit Entire,3116719,314,40.6516,-73.957,61,MARTENSE STREET,3,5086,7501,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B01001410-I1,BROOKLYN,,2024-02-14,2024-02-25,10,2024-09-15,35.0,,Permit Entire,3336021,306,40.68232,-73.99637,274,UNION STREET,3,345,24,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01001522-I1,BROOKLYN,,2024-02-07,2024-02-25,17,2025-02-07,96.0,,Permit Entire,3063083,301,40.71357,-73.96511,59,SOUTH    3 STREET,3,2416,41,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01001885-I1,BROOKLYN,,2024-02-12,2024-02-25,12,2025-02-04,159.0,,Permit Entire,3325904,302,40.7007,-73.98378,190,YORK STREET,3,68,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B01001933-I1,BROOKLYN,,2024-02-12,2024-02-25,12,2024-05-04,50.0,,Permit Entire,3170326,314,40.6294,-73.97209,770,OCEAN PARKWAY,3,6503,8,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B01001934-I1,BROOKLYN,,2024-02-15,2024-02-25,9,2025-02-15,32.0,,Permit Entire,3068327,301,40.71725,-73.94396,190,WITHERS STREET,3,2745,14,AP PROFESSIONAL ENGINEERING PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01002209-I1,BROOKLYN,,2024-02-09,2024-02-25,15,2024-11-02,35.0,,Permit Entire,3426506,307,40.66138,-73.99604,193,23 STREET,3,646,68,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01002344-I1,BROOKLYN,,2024-02-20,2024-02-25,4,2024-09-30,40.0,,Permit Entire,3022036,306,40.67242,-73.99246,143,9 STREET,3,1002,55,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01002781-I1,BROOKLYN,,2024-02-16,2024-02-25,8,2024-07-01,570.0,,Permit Entire,3194676,315,40.59147,-73.96791,2400,EAST    3 STREET,3,7178,22,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B01002930-I1,BROOKLYN,,2024-02-09,2024-02-25,15,2024-12-31,35.0,,Permit Entire,3055990,302,40.68551,-73.96694,423,CLINTON AVENUE,3,1961,17,ZENITH HOME INSPECTIONS,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01003323-I1,BROOKLYN,,2024-02-09,2024-02-25,15,2025-02-09,35.0,,Permit Entire,3831124,304,40.69963,-73.92698,1052,WILLOUGHBY AVENUE,3,3208,10,AP PROFESSIONAL ENGINEERING PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B01003331-I1,BROOKLYN,,2024-02-12,2024-02-25,12,2024-08-04,85.0,,Permit Entire,3029637,308,40.67269,-73.96345,394,LINCOLN PLACE,3,1179,99,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01003734-I1,BROOKLYN,,2024-02-14,2024-02-25,10,2024-11-19,100.0,,Permit Entire,3059170,302,40.68726,-73.97887,95,ROCKWELL PLACE,3,2107,2,PR,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B01003809-I1,BROOKLYN,,2024-02-20,2024-02-25,4,2024-11-02,10.0,,Permit Entire,3332190,308,40.68013,-73.96188,980,ATLANTIC AVENUE,3,1124,37,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01004202-I1,BROOKLYN,,2024-02-13,2024-02-25,11,2024-12-20,35.0,,Permit Entire,3063577,301,40.70885,-73.95787,168,MARCY AVENUE,3,2460,25,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B01004217-I1,BROOKLYN,,2024-02-14,2024-02-25,10,2024-04-05,116.0,,Permit Entire,3018990,306,40.67974,-73.97937,668,BALTIC STREET,3,940,127,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01004412-I1,BROOKLYN,,2024-02-16,2024-02-25,8,2024-08-03,64.0,,Permit Entire,3058386,302,40.69171,-73.97084,204,CLERMONT AVENUE,3,2074,52,DAVID CUNNINGHAM ARCHITECTURE PLANN,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01004542-I1,BROOKLYN,,2024-02-14,2024-02-25,10,2024-11-19,88.0,,Permit Entire,3256384,301,40.71172,-73.95633,272,SOUTH    1 STREET,3,2409,13,PR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01004941-I1,BROOKLYN,,2024-02-14,2024-02-25,10,2024-12-31,56.0,,Permit Entire,3003511,306,40.68653,-73.99697,193,KANE STREET,3,311,38,AG ENGINEERING PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01005053-I1,BROOKLYN,,2024-02-14,2024-02-25,10,2024-12-31,40.0,,Permit Entire,3058410,302,40.69058,-73.97793,121,DEKALB AVENUE,3,2088,4,AG ENGINEERING PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B01005450-I1,BROOKLYN,,2024-02-16,2024-02-25,8,2024-12-31,111.0,,Permit Entire,3183172,315,40.6071,-73.95333,2234,OCEAN AVENUE,3,6802,36,ZENITH HOME INSPECTIONS,1,DOB NOW,Local Law 11,Other Zoning Districts
B01005548-I1,BROOKLYN,,2024-02-22,2024-02-25,2,2024-04-01,331.0,,Permit Entire,3000131,302,40.7021,-73.98833,69,ADAMS STREET,3,52,4,TOHFAZ UDDIN PE PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01005829-I1,BROOKLYN,,2024-02-23,2024-02-25,1,2024-10-20,454.0,,Permit Entire,3392968,302,40.69505,-73.98357,306,GOLD STREET,3,133,7501,RIGID STRUCTURAL DESIGN  LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B01005863-I1,BROOKLYN,,2024-02-16,2024-02-25,8,2024-09-15,35.0,,Permit Entire,3028221,308,40.67845,-73.96443,734,BERGEN STREET,3,1146,20,MJE PROFESSIONAL SERVICES,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B01005944-I1,BROOKLYN,,2024-02-23,2024-02-25,1,2024-05-04,70.0,,Permit Entire,3074038,304,40.69484,-73.92719,823,BUSHWICK AVENUE,3,3253,9,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01005964-I1,BROOKLYN,,2024-02-16,2024-02-25,8,2024-04-01,32.0,,Permit Entire,3051606,303,40.68393,-73.95293,227,PUTNAM AVENUE,3,1822,93,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B01005968-I1,BROOKLYN,,2024-02-16,2024-02-25,8,2024-06-09,44.0,,Permit Entire,3052924,303,40.6832,-73.9397,329,HALSEY STREET,3,1841,64,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
