Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
M00838091-I1,MANHATTAN,,2023-03-03,2024-02-25,358,2024-09-30,230.0,,Permit Entire,1048365,108,40.78383,-73.95268,134,EAST   93 STREET,1,1521,7501,ASHRAF CORP,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00838163-I1,MANHATTAN,,2023-03-03,2024-02-25,358,2024-03-03,200.0,,Permit Entire,1010553,102,40.73495,-73.99891,101,WEST   10 STREET,1,606,73,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00838178-I1,MANHATTAN,,2023-03-03,2024-02-25,358,2024-07-17,35.0,,Permit Entire,1009951,102,40.73153,-74.00352,5,MORTON STREET,1,587,28,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00838388-I1,MANHATTAN,,2023-03-06,2024-02-25,355,2024-03-06,338.0,,Permit Entire,1057091,107,40.79777,-73.97182,817,WEST END AVENUE,1,1888,7503,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00839411-I1,MANHATTAN,,2023-03-07,2024-02-25,354,2024-03-07,60.0,,Permit Entire,1050596,108,40.77735,-73.94704,440,EAST   88 STREET,1,1567,31,KZ ENGINEERING  PC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00839417-I1,MANHATTAN,,2023-03-07,2024-02-25,354,2024-03-07,529.0,,Permit Entire,1035335,105,40.75214,-73.97884,60,EAST   42 STREET,1,1276,42,ASHRAF CORP,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00839454-I1,MANHATTAN,,2023-03-07,2024-02-25,354,2024-03-07,26.0,,Permit Entire,1015394,105,40.73792,-73.99278,114,5 AVENUE,1,818,51,KZ ENGINEERING  PC,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00839661-I1,MANHATTAN,,2023-04-17,2024-02-25,313,2024-04-01,107.0,,Permit Entire,1090634,105,40.75144,-73.98445,36,WEST   38 STREET,1,839,67,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00839699-I1,MANHATTAN,,2023-03-07,2024-02-25,354,2024-10-14,870.0,,Permit Entire,1079519,107,40.79163,-73.96768,70,WEST   95 STREET,1,1208,1,MOHAMMAD AHEAD  PE,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00839738-I1,MANHATTAN,,2023-03-07,2024-02-25,354,2024-10-14,146.0,,Permit Entire,1056691,107,40.80352,-73.9667,259,WEST  109 STREET,1,1881,1,MOHAMMAD AHEAD  PE,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
