Account.Id,EVT,FT,NA,NULL,PT,TotalComplaints
58283,0,4,0,0,0,4
66124,0,8,0,0,0,8
58327,0,3,0,0,0,3
48966,0,3,0,0,0,3
58349,0,1,0,0,0,1
66487,0,1,0,0,0,1
58412,0,1,0,0,0,1
49073,0,1,0,0,0,1
58438,0,6,0,0,0,6
56183,0,1,0,0,0,1
58454,0,1,0,0,0,1
56226,0,1,0,0,0,1
58456,0,2,0,0,0,2
67700,0,2,0,0,0,2
49626,0,1,0,0,0,1
67881,0,2,0,0,0,2
58750,0,5,0,0,0,5
63167,0,2,0,0,0,2
49675,0,2,0,0,0,2
63315,0,6,0,0,0,6
58855,0,3,1,0,0,4
63381,0,9,0,0,0,9
58860,0,7,0,0,0,7
63447,0,3,0,0,0,3
58903,0,1,0,0,0,1
63854,0,1,0,0,0,1
49716,0,1,0,0,0,1
64071,0,3,0,0,0,3
58962,0,0,1,0,0,1
64406,0,3,0,0,0,3
59117,0,3,1,0,0,4
54161,0,1,3,0,0,4
49867,0,1,0,0,0,1
54322,0,2,0,0,0,2
49903,0,1,0,0,0,1
54358,0,6,0,0,0,6
59239,0,3,0,0,0,3
64741,0,5,0,0,0,5
47682,0,3,1,0,0,4
64787,0,10,0,0,0,10
50049,0,1,0,0,0,1
64948,0,7,0,0,7,14
59277,0,3,0,0,0,3
54523,0,1,0,0,0,1
50050,0,0,1,0,0,1
65585,0,3,0,0,0,3
59520,0,19,0,0,0,19
47373,0,2,0,0,0,2
59594,0,2,0,0,0,2
54846,0,0,0,0,1,1
59595,0,3,0,0,0,3
48957,0,3,0,0,0,3
50070,0,26,0,0,0,26
66122,0,2,0,0,1,3
50123,0,3,0,0,0,3
66126,0,37,0,0,0,37
59653,0,3,0,0,0,3
66237,0,16,0,0,0,16
59659,0,1,0,0,0,1
66290,0,12,0,0,0,12
59666,0,5,0,0,0,5
49000,0,1,0,0,0,1
59670,0,1,0,0,0,1
55658,0,1,0,0,0,1
59671,0,3,0,0,0,3
55838,0,1,0,0,0,1
50217,0,3,0,0,0,3
66552,0,1,0,0,0,1
59678,0,1,0,0,0,1
66803,0,22,0,0,0,22
59692,0,6,0,0,0,6
66898,0,3,0,0,0,3
48182,0,1,0,0,0,1
49082,0,1,0,0,0,1
59770,0,1,0,0,0,1
67225,0,4,0,0,0,4
50445,0,30,8,0,0,38
57919,0,1,0,0,0,1
48192,0,5,3,0,0,8
67734,0,1,0,0,0,1
51112,0,1,0,0,0,1
57926,0,1,0,0,0,1
51122,0,1,0,0,0,1
68052,0,3,0,0,0,3
60088,0,2,0,0,0,2
63148,0,23,0,0,0,23
60102,0,14,0,0,0,14
52714,0,8,1,0,0,9
60445,0,1,0,0,0,1
63307,0,1,0,0,0,1
60476,0,1,0,0,0,1
63328,0,2,0,0,0,2
60477,0,1,0,0,0,1
63363,0,1,0,0,0,1
60481,0,2,0,0,0,2
53068,0,1,0,0,0,1
60485,0,4,0,0,0,4
63418,0,7,0,0,0,7
60493,0,5,0,0,0,5
53096,0,1,0,0,0,1
48422,0,5,0,0,0,5
63770,0,1,0,0,0,1
60501,0,4,0,0,0,4
63998,0,1,0,0,0,1
60502,0,1,0,0,0,1
64070,0,9,0,0,0,9
60505,0,1,1,0,0,2
64088,0,7,0,0,0,7
60507,0,5,0,0,0,5
53963,0,1,0,0,0,1
60517,0,1,0,0,0,1
54085,0,1,0,0,0,1
60519,0,2,0,0,0,2
54096,0,20,0,0,0,20
47257,0,0,2,0,16,18
64568,0,2,0,0,0,2
60555,0,2,0,0,0,2
48913,0,36,0,0,0,36
60600,0,8,0,0,0,8
54323,0,1,0,0,0,1
48521,0,7,1,0,0,8
64621,0,1,0,0,0,1
48604,0,2,0,0,0,2
64633,0,9,0,0,0,9
60725,0,20,0,0,0,20
64740,0,3,0,0,0,3
52377,0,7,0,0,0,7
54391,0,4,0,0,0,4
60860,0,2,0,0,0,2
64783,0,35,0,0,8,43
60919,0,0,3,0,0,3
54458,0,6,0,0,0,6
61026,0,10,0,0,0,10
64878,0,2,0,0,0,2
61036,0,0,1,0,0,1
65306,0,2,0,0,2,4
61040,0,5,0,0,0,5
54522,0,12,0,0,0,12
61056,0,5,3,0,0,8
65438,0,6,0,0,0,6
48606,0,1,0,0,0,1
65493,0,3,0,0,0,3
61125,0,2,0,0,0,2
65643,0,3,0,0,0,3
61193,0,3,0,0,0,3
54649,0,3,0,0,0,3
61229,0,2,0,0,0,2
65779,0,1,0,0,0,1
52480,0,2,0,0,0,2
65899,0,9,0,0,0,9
61246,0,1,0,0,0,1
65976,0,8,0,0,0,8
61272,0,1,0,0,0,1
54931,0,0,1,0,0,1
52481,0,2,2,0,0,4
55240,0,2,0,0,0,2
61340,0,1,0,0,0,1
66121,0,2,0,0,0,2
61454,0,5,0,0,0,5
55381,0,3,0,0,0,3
61496,0,10,0,0,0,10
66125,0,10,0,0,0,10
61626,0,6,0,0,0,6
66151,0,7,0,0,0,7
61829,0,4,0,0,0,4
66214,0,3,0,0,0,3
61833,0,4,0,0,0,4
66254,0,1,0,0,0,1
62007,0,1,1,0,0,2
55491,0,1,0,0,0,1
62008,0,2,0,0,0,2
66305,0,2,0,0,0,2
62015,0,2,0,0,0,2
48982,0,0,1,0,0,1
62052,0,9,0,0,0,9
49069,0,1,0,0,0,1
62201,0,1,0,0,0,1
66488,0,2,0,0,0,2
52482,0,1,0,0,0,1
55673,0,4,0,0,0,4
62266,0,2,0,0,0,2
55732,0,2,0,0,0,2
62267,0,3,0,0,0,3
66503,0,1,0,0,0,1
62268,0,4,3,0,0,7
49076,0,2,0,0,0,2
62269,0,16,0,0,0,16
49079,0,1,0,0,0,1
62270,0,18,0,0,0,18
56180,0,4,0,0,0,4
62312,0,4,0,0,0,4
66842,0,5,0,0,0,5
62329,0,9,1,0,0,10
56207,0,1,0,0,0,1
62345,0,2,0,0,0,2
66983,0,1,0,0,0,1
62354,0,7,0,0,0,7
67003,0,13,0,0,0,13
52528,0,1,0,0,0,1
56218,0,3,0,0,5,8
62389,0,4,1,0,0,5
67111,0,1,0,0,0,1
62391,0,1,0,0,0,1
67227,0,21,0,0,0,21
48880,0,1,0,0,0,1
67534,0,13,0,0,0,13
62532,0,3,0,0,0,3
47340,0,1,0,0,0,1
52620,0,3,0,0,0,3
67727,0,5,0,0,0,5
62672,0,3,0,0,0,3
67753,0,5,0,0,0,5
62680,0,1,0,0,0,1
57922,0,1,0,0,0,1
62804,0,18,0,0,0,18
57929,0,16,0,0,0,16
62842,0,4,0,0,0,4
68043,0,7,0,0,0,7
62968,0,1,0,0,0,1
68212,0,6,0,0,0,6
62977,0,1,0,0,0,1
63111,0,2,0,0,0,2
46685,0,6,0,0,0,6
14367,0,5,1,0,0,6
38151,0,13,1,0,0,14
21411,0,3,0,0,0,3
45619,0,1,0,0,0,1
21413,0,3,0,0,0,3
38108,0,7,0,0,0,7
21415,0,2,0,0,0,2
38946,0,2,0,0,0,2
13482,0,1,0,0,0,1
41733,0,1,0,0,0,1
21424,0,1,0,0,0,1
46257,0,4,0,0,0,4
21436,0,3,0,0,0,3
36936,0,1,0,0,0,1
21440,0,1,0,0,0,1
38134,0,1,0,0,0,1
21442,0,2,0,0,0,2
38463,0,8,0,0,0,8
21448,0,9,1,0,0,10
20690,0,2,0,0,0,2
15007,0,6,0,0,0,6
40782,0,1,1,0,0,2
13803,0,5,0,0,0,5
20903,0,1,0,0,0,1
21885,0,3,1,0,0,4
45784,0,0,0,0,1,1
17128,0,3,0,0,0,3
46307,0,3,0,0,0,3
26508,0,2,0,0,0,2
46706,0,2,1,0,0,3
27045,0,4,0,0,0,4
37487,0,1,0,0,0,1
27809,0,1,0,0,0,1
38117,0,27,1,0,0,28
15011,0,5,0,0,0,5
38144,0,5,0,0,0,5
27840,0,2,0,0,0,2
38248,0,1,0,0,0,1
27849,0,27,4,0,0,31
38713,0,3,0,0,0,3
27850,0,45,0,0,0,45
20683,0,2,0,0,0,2
27853,0,1,0,0,0,1
